file,dft,c,bv,ang,fold
0.vasp,-4642.66088062,320,0.56618,30,1
1.vasp,-4642.63657947,324,0.60588,32,4
10.vasp,-4642.62540559,320,0.59483,32,1
100.vasp,-4642.6284842,332,0.61633,30,4
1000.vasp,-4642.58775032,332,0.62564,32,2
1001.vasp,-4642.62470524,328,0.60444,32,3
1002.vasp,-4642.58140145,328,0.60653,32,3
1003.vasp,-4642.58646863,332,0.65715,30,2
1004.vasp,-4642.5234475,348,0.70563,34,4
1005.vasp,-4642.59330012,340,0.6269,30,5
1006.vasp,-4642.60758066,320,0.5924,34,2
1007.vasp,-4642.62653501,324,0.6034,30,2
1008.vasp,-4642.61457002,332,0.58751,30,4
1009.vasp,-4642.63490402,320,0.60828,32,2
101.vasp,-4642.6242672,332,0.61953,30,3
1010.vasp,-4642.54817585,328,0.67349,36,1
1011.vasp,-4642.58385112,340,0.6389,32,4
1012.vasp,-4642.57091272,332,0.62534,32,2
1013.vasp,-4642.59702203,332,0.61803,32,5
1014.vasp,-4642.6230908,320,0.58866,32,2
1015.vasp,-4642.61650017,324,0.60662,32,4
1016.vasp,-4642.64239007,316,0.58896,32,1
1017.vasp,-4642.58028575,332,0.63562,34,2
1018.vasp,-4642.66481683,316,0.5524,30,1
1019.vasp,-4642.60990434,328,0.60357,32,3
102.vasp,-4642.59015705,336,0.62395,32,5
1020.vasp,-4642.6026357,336,0.62108,30,4
1021.vasp,-4642.60035,324,0.6295,32,5
1022.vasp,-4642.6221433,316,0.56444,36,3
1023.vasp,-4642.62522102,332,0.61333,30,1
1024.vasp,-4642.61721519,320,0.63754,32,3
1025.vasp,-4642.61925178,324,0.6228,32,3
1026.vasp,-4642.61066274,328,0.62478,30,2
1027.vasp,-4642.68143033,312,0.5276,28,4
1028.vasp,-4642.62186572,328,0.61876,32,3
1029.vasp,-4642.59063376,336,0.62209,32,3
103.vasp,-4642.64442131,324,0.58404,30,5
1030.vasp,-4642.59116802,328,0.61678,34,3
1031.vasp,-4642.62592232,320,0.56924,32,5
1032.vasp,-4642.59116407,328,0.61642,34,1
1033.vasp,-4642.54618245,328,0.65834,35,4
1034.vasp,-4642.77963873,296,0.27402,30,3
