file,dft,c,bv,ang
0.vasp,-4642.66088062,320,0.56618,30
1.vasp,-4642.63657947,324,0.60588,32
2.vasp,-4642.60841283,324,0.61248,32
3.vasp,-4642.56140395,344,0.64612,34
4.vasp,-4642.65918831,316,0.54228,32
5.vasp,-4642.61703581,320,0.60898,34
6.vasp,-4642.58749688,328,0.6319,35
7.vasp,-4642.64607678,320,0.57644,32
8.vasp,-4642.66620764,320,0.57585,30
9.vasp,-4642.66192103,312,0.51935,32
10.vasp,-4642.62540559,320,0.59483,32
11.vasp,-4642.64784762,320,0.61982,30
12.vasp,-4642.65071199,320,0.59933,30
13.vasp,-4642.61975992,328,0.59039,32
14.vasp,-4642.58344965,332,0.65136,34
15.vasp,-4642.69148277,316,0.53142,26
16.vasp,-4642.59994799,332,0.63291,32
17.vasp,-4642.60341843,328,0.64525,32
18.vasp,-4642.65481544,324,0.56225,30
19.vasp,-4642.62736923,324,0.57932,34
20.vasp,-4642.60179569,332,0.61436,32
21.vasp,-4642.62186571,328,0.61876,32
22.vasp,-4642.59330853,324,0.63219,32
23.vasp,-4642.59381472,324,0.59683,30
24.vasp,-4642.60565426,332,0.62713,32
25.vasp,-4642.6514567,324,0.58914,30
26.vasp,-4642.56103729,324,0.61682,38
27.vasp,-4642.6651685,320,0.53713,26
28.vasp,-4642.61592263,332,0.59616,32
29.vasp,-4642.5811536,324,0.62829,36
30.vasp,-4642.60024711,324,0.63701,34
31.vasp,-4642.66848233,312,0.52152,34
32.vasp,-4642.61846174,328,0.60768,32
33.vasp,-4642.63830086,324,0.59314,32
34.vasp,-4642.6002255,332,0.66731,27
35.vasp,-4642.64098917,312,0.54417,34
36.vasp,-4642.63055422,320,0.55522,32
37.vasp,-4642.64705612,324,0.56878,28
38.vasp,-4642.60950467,328,0.62822,32
39.vasp,-4642.61041784,332,0.62576,32
40.vasp,-4642.65158105,320,0.56804,28
41.vasp,-4642.62676505,328,0.61565,30
42.vasp,-4642.61044013,324,0.61208,32
43.vasp,-4642.63441221,324,0.58805,28
44.vasp,-4642.62477158,324,0.59345,30
45.vasp,-4642.78233363,300,0.3422,28
46.vasp,-4642.52879528,328,0.6428,35
