file,dft,c,bv,ang
0.vasp,-4001.93331366,288,0.47795,32
1.vasp,-4001.61372317,320,0.61273,48
2.vasp,-4001.74175919,324,0.69191,42
3.vasp,-4001.74553232,320,0.66505,42
4.vasp,-4001.74176757,324,0.69217,42
5.vasp,-4001.74555768,320,0.66494,42
6.vasp,-4001.74174904,324,0.7215,42
7.vasp,-4001.74555584,320,0.68192,42
8.vasp,-4001.74173119,324,0.72224,42
9.vasp,-4001.74557226,320,0.66475,42
10.vasp,-4001.74175919,324,0.69191,42
11.vasp,-4001.74176757,324,0.69217,42
12.vasp,-4001.74553232,320,0.66505,42
13.vasp,-4001.74555768,320,0.66494,42
14.vasp,-4001.74174904,324,0.7215,42
15.vasp,-4001.74173119,324,0.72224,42
16.vasp,-4001.74555584,320,0.68192,42
17.vasp,-4001.74557226,320,0.66475,42
18.vasp,-4001.74556876,320,0.66496,42
19.vasp,-4001.74175415,324,0.69176,42
20.vasp,-4001.7455815,320,0.66482,42
21.vasp,-4001.74175157,324,0.67691,42
22.vasp,-4001.74555885,320,0.66516,42
23.vasp,-4001.74172042,324,0.70693,42
24.vasp,-4001.74557626,320,0.6647,42
25.vasp,-4001.74174369,324,0.707,42
26.vasp,-4001.74175299,324,0.69163,42
27.vasp,-4001.74176396,324,0.69188,42
28.vasp,-4001.74556668,320,0.66498,42
29.vasp,-4001.74556957,320,0.66459,42
30.vasp,-4001.74174241,324,0.72109,42
31.vasp,-4001.74172624,324,0.69196,42
32.vasp,-4001.74558306,320,0.66507,42
33.vasp,-4001.74553372,320,0.68176,42
34.vasp,-4001.77820755,328,0.69846,40
35.vasp,-4001.77867803,328,0.72235,40
36.vasp,-4001.78531061,324,0.67183,38
37.vasp,-4001.77192311,328,0.71794,40
38.vasp,-4001.78569235,324,0.64802,38
39.vasp,-4001.78112008,324,0.71264,38
40.vasp,-4001.77990669,324,0.64417,38
41.vasp,-4001.77056284,332,0.73225,38
42.vasp,-4001.77055909,332,0.73236,38
43.vasp,-4001.77931992,324,0.64436,38
44.vasp,-4001.77931863,324,0.64386,38
45.vasp,-4001.77958633,328,0.71852,38
46.vasp,-4001.77958396,328,0.71909,38
47.vasp,-4001.78644413,320,0.6441,38
48.vasp,-4001.78642757,320,0.64399,38
49.vasp,-4001.7853134,324,0.67181,38
50.vasp,-4001.77854183,328,0.70016,40
51.vasp,-4001.78570415,324,0.64794,38
52.vasp,-4001.77190791,328,0.71799,40
53.vasp,-4001.77988858,324,0.644,38
54.vasp,-4001.78120481,324,0.70434,38
55.vasp,-4001.77055941,332,0.7326,38
56.vasp,-4001.77057032,332,0.7325,38
57.vasp,-4001.77933284,324,0.64452,38
58.vasp,-4001.77931485,324,0.64416,38
59.vasp,-4001.77957657,328,0.71875,38
60.vasp,-4001.77957409,328,0.71914,38
61.vasp,-4001.7864728,320,0.64392,38
62.vasp,-4001.78643567,320,0.64408,38
63.vasp,-4001.77816469,328,0.71285,40
64.vasp,-4001.78117771,324,0.70408,38
65.vasp,-4001.77991186,324,0.64429,38
66.vasp,-4001.77190275,328,0.7178,40
67.vasp,-4001.7856949,324,0.64783,38
68.vasp,-4001.77055823,332,0.73251,38
69.vasp,-4001.7705554,332,0.7327,38
70.vasp,-4001.77932906,324,0.6443,38
71.vasp,-4001.77930408,324,0.64396,38
72.vasp,-4001.77957955,328,0.71852,38
73.vasp,-4001.77957704,328,0.71893,38
74.vasp,-4001.78644927,320,0.64366,38
75.vasp,-4001.78642968,320,0.64356,38
76.vasp,-4001.77988787,324,0.64397,38
77.vasp,-4001.78120108,324,0.69643,38
78.vasp,-4001.78569406,324,0.64785,38
79.vasp,-4001.77191026,328,0.71756,40
80.vasp,-4001.77055526,332,0.73238,38
81.vasp,-4001.77055205,332,0.73251,38
82.vasp,-4001.77931627,324,0.64443,38
83.vasp,-4001.77932107,324,0.64405,38
84.vasp,-4001.7795755,328,0.71888,38
85.vasp,-4001.77957376,328,0.71929,38
86.vasp,-4001.78645431,320,0.64397,38
87.vasp,-4001.78643519,320,0.64391,38
88.vasp,-4001.77813005,328,0.6997,40
89.vasp,-4001.77862569,328,0.70335,40
90.vasp,-4001.78525356,324,0.67177,38
91.vasp,-4001.77958718,328,0.703,38
92.vasp,-4001.77958645,328,0.70312,38
93.vasp,-4001.78642669,320,0.64427,38
94.vasp,-4001.7864137,320,0.64402,38
95.vasp,-4001.77053669,332,0.73309,38
96.vasp,-4001.77054022,332,0.73246,38
97.vasp,-4001.77926112,324,0.64512,38
98.vasp,-4001.77927397,324,0.64493,38
99.vasp,-4001.78526188,324,0.67176,38
100.vasp,-4001.77866316,328,0.71836,40
101.vasp,-4001.77233647,328,0.71822,38
102.vasp,-4001.77233936,328,0.71827,38
103.vasp,-4001.77915889,320,0.64472,38
104.vasp,-4001.77917338,320,0.64382,38
105.vasp,-4001.76327848,332,0.7334,38
106.vasp,-4001.76326205,332,0.73283,38
107.vasp,-4001.77203072,324,0.64531,38
108.vasp,-4001.77204304,324,0.64515,38
109.vasp,-4001.77094515,328,0.70481,40
110.vasp,-4001.77233334,328,0.71855,38
111.vasp,-4001.77233413,328,0.71862,38
112.vasp,-4001.77916096,320,0.64403,38
113.vasp,-4001.7791845,320,0.64374,38
114.vasp,-4001.76327163,332,0.73281,38
115.vasp,-4001.76324267,332,0.7327,38
116.vasp,-4001.77202647,324,0.6449,38
117.vasp,-4001.77202771,324,0.64474,38
118.vasp,-4001.77233211,328,0.71844,38
119.vasp,-4001.77233468,328,0.71858,38
120.vasp,-4001.77914019,320,0.64442,38
121.vasp,-4001.7791622,320,0.64376,38
122.vasp,-4001.76327116,332,0.72329,38
123.vasp,-4001.76325152,332,0.7329,38
124.vasp,-4001.77205637,324,0.64503,38
125.vasp,-4001.77204502,324,0.64484,38
126.vasp,-4001.75903897,336,0.7108,40
127.vasp,-4001.77149848,328,0.65641,40
128.vasp,-4001.77623521,324,0.6048,38
129.vasp,-4001.75548297,336,0.6475,40
130.vasp,-4001.7701235,332,0.63721,38
131.vasp,-4001.77589914,324,0.66056,38
132.vasp,-4001.77360982,324,0.65093,38
133.vasp,-4001.77623429,324,0.60499,38
134.vasp,-4001.77146794,328,0.6696,40
135.vasp,-4001.77012637,332,0.63721,38
136.vasp,-4001.7554937,336,0.6472,40
137.vasp,-4001.77362207,324,0.65112,38
138.vasp,-4001.77590918,324,0.66026,38
139.vasp,-4001.78159751,320,0.59086,40
140.vasp,-4001.77585662,324,0.66064,38
141.vasp,-4001.77360645,324,0.65088,38
142.vasp,-4001.76776958,320,0.65251,40
143.vasp,-4001.77902489,316,0.6594,38
144.vasp,-4001.77360163,324,0.65104,38
145.vasp,-4001.77582706,324,0.6605,38
146.vasp,-4001.77906835,316,0.65957,38
147.vasp,-4001.76774668,320,0.65335,40
148.vasp,-4001.75904097,336,0.71021,40
149.vasp,-4001.77151025,328,0.66963,40
150.vasp,-4001.77622306,324,0.6046,38
151.vasp,-4001.7762123,324,0.60516,38
152.vasp,-4001.77151023,328,0.6827,40
153.vasp,-4001.78158928,320,0.59155,40
154.vasp,-4001.73450859,324,0.69156,42
155.vasp,-4001.73831654,320,0.66499,42
156.vasp,-4001.7345204,324,0.69178,42
157.vasp,-4001.73832134,320,0.66457,42
158.vasp,-4001.73450799,324,0.721,42
159.vasp,-4001.73834675,320,0.66512,42
160.vasp,-4001.73449189,324,0.69188,42
161.vasp,-4001.73834177,320,0.66427,42
162.vasp,-4001.73831467,320,0.66499,42
163.vasp,-4001.73832854,320,0.66484,42
164.vasp,-4001.7344757,324,0.69233,42
165.vasp,-4001.73450917,324,0.67682,42
166.vasp,-4001.73833914,320,0.66479,42
167.vasp,-4001.73833757,320,0.6647,42
168.vasp,-4001.73448435,324,0.69171,42
169.vasp,-4001.73450906,324,0.70691,42
170.vasp,-4001.77149848,328,0.65641,40
171.vasp,-4001.75903897,336,0.7108,40
172.vasp,-4001.77623521,324,0.6048,38
173.vasp,-4001.75548297,336,0.6475,40
174.vasp,-4001.77589914,324,0.66056,38
175.vasp,-4001.7701235,332,0.63721,38
176.vasp,-4001.77360982,324,0.65093,38
177.vasp,-4001.76329822,332,0.73215,38
178.vasp,-4001.76329209,332,0.73242,38
179.vasp,-4001.76331095,332,0.73243,38
180.vasp,-4001.76329101,332,0.7323,38
181.vasp,-4001.77233778,328,0.71839,38
182.vasp,-4001.77233334,328,0.71855,38
183.vasp,-4001.77233647,328,0.71822,38
184.vasp,-4001.77233211,328,0.71844,38
185.vasp,-4001.77623429,324,0.60499,38
186.vasp,-4001.78159751,320,0.59086,40
187.vasp,-4001.77585662,324,0.66064,38
188.vasp,-4001.76776958,320,0.65251,40
189.vasp,-4001.77360645,324,0.65088,38
190.vasp,-4001.77902489,316,0.6594,38
191.vasp,-4001.7720545,324,0.6443,38
192.vasp,-4001.77206389,324,0.64426,38
193.vasp,-4001.77207049,324,0.64446,38
194.vasp,-4001.77205343,324,0.64437,38
195.vasp,-4001.77916754,320,0.64421,38
196.vasp,-4001.77916096,320,0.64403,38
197.vasp,-4001.77915889,320,0.64472,38
198.vasp,-4001.77914019,320,0.64442,38
199.vasp,-4001.77146794,328,0.6696,40
200.vasp,-4001.77012637,332,0.63721,38
201.vasp,-4001.77362207,324,0.65112,38
202.vasp,-4001.7554937,336,0.6472,40
203.vasp,-4001.77590918,324,0.66026,38
204.vasp,-4001.76329663,332,0.73223,38
205.vasp,-4001.7632934,332,0.73259,38
206.vasp,-4001.76331003,332,0.7324,38
207.vasp,-4001.76329146,332,0.73242,38
208.vasp,-4001.77233977,328,0.70298,38
209.vasp,-4001.77233413,328,0.71862,38
210.vasp,-4001.77233936,328,0.71827,38
211.vasp,-4001.77233468,328,0.71858,38
212.vasp,-4001.77360163,324,0.65104,38
213.vasp,-4001.77906835,316,0.65957,38
214.vasp,-4001.77582706,324,0.6605,38
215.vasp,-4001.76774668,320,0.65335,40
216.vasp,-4001.77205627,324,0.6438,38
